"R e,out","t e,out","R e,in","t e,in",Aso,Asi,As,Ac,Ak,χ,γ,"R e,out/R e,in",t out/t in,φ r,ke,"fy,out","fy,in","fc,ref",N0,Nexp
117.0,3.0,57.0,3.0,2233.672377,1102.699021,3336.371398,31695.52828,10207.03453,0.512820513,0.0,2.052631579,1.0,1.0,1.0,280.0,280.0,29.0,1853.354312,1990.0
117.0,3.0,57.0,3.0,2233.672377,1102.699021,3336.371398,31695.52828,10207.03453,0.512820513,0.0,2.052631579,1.0,1.0,1.0,280.0,280.0,29.0,1853.354312,1990.0
117.0,3.0,37.0,3.0,2233.672377,725.707903,2959.38028,37978.71359,4300.840343,0.341880342,0.0,3.162162162,1.0,1.0,1.0,280.0,280.0,29.0,1930.009172,2207.0
117.0,3.0,37.0,3.0,2233.672377,725.707903,2959.38028,37978.71359,4300.840343,0.341880342,0.0,3.162162162,1.0,1.0,1.0,280.0,280.0,29.0,1930.009172,2207.0
116.0,4.0,56.0,4.0,2965.663465,1457.698991,4423.362456,30963.53719,9852.034562,0.517241379,0.0,2.071428571,1.0,1.0,1.0,280.0,280.0,29.0,2136.484066,2517.0
116.0,4.0,56.0,4.0,2965.663465,1457.698991,4423.362456,30963.53719,9852.034562,0.517241379,0.0,2.071428571,1.0,1.0,1.0,280.0,280.0,29.0,2136.484066,2517.0
116.0,4.0,36.0,4.0,2965.663465,955.0441667,3920.707632,37246.7225,4071.504079,0.344827586,0.0,3.222222222,1.0,1.0,1.0,280.0,280.0,29.0,2177.953089,2735.0
116.0,4.0,36.0,4.0,2965.663465,955.0441667,3920.707632,37246.7225,4071.504079,0.344827586,0.0,3.222222222,1.0,1.0,1.0,280.0,280.0,29.0,2177.953089,2735.0
106.38,3.62,75.78,3.72,2460.795703,1814.714607,4275.51031,15696.82444,18040.93636,0.747320925,0.0,1.403800475,0.97311828,1.0,1.0,319.6,380.6,51.43074215,2284.450016,2537.0
106.38,3.62,75.78,3.72,2460.795703,1814.714607,4275.51031,15696.82444,18040.93636,0.747320925,0.0,1.403800475,0.97311828,1.0,1.0,319.6,380.6,51.43074215,2284.450016,2566.0
106.38,3.62,49.28,3.72,2460.795703,1195.318199,3656.113902,26727.74164,7629.415565,0.49821395,0.0,2.158685065,0.97311828,1.0,1.0,319.6,380.6,51.43074215,2616.036002,3436.0
106.38,3.62,49.28,3.72,2460.795703,1195.318199,3656.113902,26727.74164,7629.415565,0.49821395,0.0,2.158685065,0.97311828,1.0,1.0,319.6,380.6,51.43074215,2616.036002,3506.0
106.38,3.62,75.78,3.72,2460.795703,1814.714607,4275.51031,15696.82444,18040.93636,0.747320925,0.0,1.403800475,0.97311828,1.0,1.0,319.6,380.6,51.43074215,2284.450016,1552.0
106.38,3.62,75.78,3.72,2460.795703,1814.714607,4275.51031,15696.82444,18040.93636,0.747320925,0.0,1.403800475,0.97311828,1.0,1.0,319.6,380.6,51.43074215,2284.450016,1561.0
171.18,3.82,112.58,2.92,4154.466001,2092.280601,6246.746602,50147.17762,39817.3508,0.674728356,0.0,1.520518742,1.308219178,1.0,1.0,439.3,396.5,36.89752686,4504.953006,5499.0
171.18,3.82,112.58,2.92,4154.466001,2092.280601,6246.746602,50147.17762,39817.3508,0.674728356,0.0,1.520518742,1.308219178,1.0,1.0,439.3,396.5,36.89752686,4504.953006,5396.0
58.04,1.96,28.04,1.96,726.8338498,357.3825537,1084.216404,7755.466315,2470.050835,0.516884907,0.0,2.069900143,1.0,1.0,1.0,311.0,380.0,25.89606403,562.6867499,578.0
58.04,1.96,28.04,1.96,726.8338498,357.3825537,1084.216404,7755.466315,2470.050835,0.516884907,0.0,2.069900143,1.0,1.0,1.0,311.0,380.0,49.07523539,742.4520327,715.0
66.6,3.0,36.1,2.0,1283.654758,466.2123498,1749.867108,9374.355399,4094.154962,0.572072072,0.0,1.844875346,1.5,1.0,1.0,418.0,324.0,23.52764718,908.1770166,1059.2
66.6,3.0,36.1,2.0,1283.654758,466.2123498,1749.867108,9374.355399,4094.154962,0.572072072,0.0,1.844875346,1.5,1.0,1.0,418.0,324.0,23.52764718,908.1770166,1056.1
66.6,3.0,36.1,2.0,1283.654758,466.2123498,1749.867108,9374.355399,4094.154962,0.572072072,0.0,1.844875346,1.5,1.0,1.0,418.0,324.0,23.52764718,908.1770166,905.5
66.6,3.0,36.1,2.0,1283.654758,466.2123498,1749.867108,9374.355399,4094.154962,0.572072072,0.0,1.844875346,1.5,1.0,1.0,418.0,324.0,23.52764718,908.1770166,901.6
66.6,3.0,36.1,2.0,1283.654758,466.2123498,1749.867108,9374.355399,4094.154962,0.572072072,0.0,1.844875346,1.5,1.0,1.0,418.0,324.0,23.52764718,908.1770166,831.7
66.6,3.0,36.1,2.0,1283.654758,466.2123498,1749.867108,9374.355399,4094.154962,0.572072072,0.0,1.844875346,1.5,1.0,1.0,418.0,324.0,23.52764718,908.1770166,837.4
66.6,3.0,36.1,2.0,1283.654758,466.2123498,1749.867108,9374.355399,4094.154962,0.572072072,0.0,1.844875346,1.5,1.0,1.0,418.0,324.0,23.52764718,908.1770166,732.1
66.6,3.0,36.1,2.0,1283.654758,466.2123498,1749.867108,9374.355399,4094.154962,0.572072072,0.0,1.844875346,1.5,1.0,1.0,418.0,324.0,23.52764718,908.1770166,729.0
73.2,3.0,36.1,2.0,1408.061827,466.2123498,1874.274177,12273.04011,4094.154962,0.520491803,0.0,2.027700831,1.5,1.0,1.0,549.0,324.0,23.52764718,1212.834502,1263.5
73.2,3.0,36.1,2.0,1408.061827,466.2123498,1874.274177,12273.04011,4094.154962,0.520491803,0.0,2.027700831,1.5,1.0,1.0,549.0,324.0,23.52764718,1212.834502,1254.9
73.2,3.0,36.1,2.0,1408.061827,466.2123498,1874.274177,12273.04011,4094.154962,0.520491803,0.0,2.027700831,1.5,1.0,1.0,549.0,324.0,23.52764718,1212.834502,1195.6
73.2,3.0,36.1,2.0,1408.061827,466.2123498,1874.274177,12273.04011,4094.154962,0.520491803,0.0,2.027700831,1.5,1.0,1.0,549.0,324.0,23.52764718,1212.834502,1191.2
73.2,3.0,36.1,2.0,1408.061827,466.2123498,1874.274177,12273.04011,4094.154962,0.520491803,0.0,2.027700831,1.5,1.0,1.0,549.0,324.0,23.52764718,1212.834502,1047.3
73.2,3.0,36.1,2.0,1408.061827,466.2123498,1874.274177,12273.04011,4094.154962,0.520491803,0.0,2.027700831,1.5,1.0,1.0,549.0,324.0,23.52764718,1212.834502,1041.6
73.2,3.0,36.1,2.0,1408.061827,466.2123498,1874.274177,12273.04011,4094.154962,0.520491803,0.0,2.027700831,1.5,1.0,1.0,549.0,324.0,23.52764718,1212.834502,941.4
73.2,3.0,36.1,2.0,1408.061827,466.2123498,1874.274177,12273.04011,4094.154962,0.520491803,0.0,2.027700831,1.5,1.0,1.0,549.0,324.0,23.52764718,1212.834502,949.0
79.55,3.0,36.1,2.0,1527.756507,466.2123498,1993.968857,15320.26717,4094.154962,0.47894406,0.0,2.203601108,1.5,1.0,1.0,516.0,324.0,23.52764718,1299.825,1512.3
79.55,3.0,36.1,2.0,1527.756507,466.2123498,1993.968857,15320.26717,4094.154962,0.47894406,0.0,2.203601108,1.5,1.0,1.0,516.0,324.0,23.52764718,1299.825,1510.6
79.55,3.0,36.1,2.0,1527.756507,466.2123498,1993.968857,15320.26717,4094.154962,0.47894406,0.0,2.203601108,1.5,1.0,1.0,516.0,324.0,23.52764718,1299.825,1286.4
79.55,3.0,36.1,2.0,1527.756507,466.2123498,1993.968857,15320.26717,4094.154962,0.47894406,0.0,2.203601108,1.5,1.0,1.0,516.0,324.0,23.52764718,1299.825,1275.1
79.55,3.0,36.1,2.0,1527.756507,466.2123498,1993.968857,15320.26717,4094.154962,0.47894406,0.0,2.203601108,1.5,1.0,1.0,516.0,324.0,23.52764718,1299.825,1187.2
79.55,3.0,36.1,2.0,1527.756507,466.2123498,1993.968857,15320.26717,4094.154962,0.47894406,0.0,2.203601108,1.5,1.0,1.0,516.0,324.0,23.52764718,1299.825,1199.8
79.55,3.0,36.1,2.0,1527.756507,466.2123498,1993.968857,15320.26717,4094.154962,0.47894406,0.0,2.203601108,1.5,1.0,1.0,516.0,324.0,23.52764718,1299.825,1028.0
79.55,3.0,36.1,2.0,1527.756507,466.2123498,1993.968857,15320.26717,4094.154962,0.47894406,0.0,2.203601108,1.5,1.0,1.0,516.0,324.0,23.52764718,1299.825,1036.5
93.35,3.5,36.1,2.0,2091.358229,466.2123498,2557.570579,22816.17008,4094.154962,0.408141403,0.0,2.585872576,1.75,1.0,1.0,391.0,324.0,23.52764718,1505.584669,2010.0
93.35,3.5,36.1,2.0,2091.358229,466.2123498,2557.570579,22816.17008,4094.154962,0.408141403,0.0,2.585872576,1.75,1.0,1.0,391.0,324.0,23.52764718,1505.584669,2030.0
93.35,3.5,36.1,2.0,2091.358229,466.2123498,2557.570579,22816.17008,4094.154962,0.408141403,0.0,2.585872576,1.75,1.0,1.0,391.0,324.0,23.52764718,1505.584669,1730.0
93.35,3.5,36.1,2.0,2091.358229,466.2123498,2557.570579,22816.17008,4094.154962,0.408141403,0.0,2.585872576,1.75,1.0,1.0,391.0,324.0,23.52764718,1505.584669,1720.0
93.35,3.5,36.1,2.0,2091.358229,466.2123498,2557.570579,22816.17008,4094.154962,0.408141403,0.0,2.585872576,1.75,1.0,1.0,391.0,324.0,23.52764718,1505.584669,1581.6
93.35,3.5,36.1,2.0,2091.358229,466.2123498,2557.570579,22816.17008,4094.154962,0.408141403,0.0,2.585872576,1.75,1.0,1.0,391.0,324.0,23.52764718,1505.584669,1584.1
93.35,3.5,36.1,2.0,2091.358229,466.2123498,2557.570579,22816.17008,4094.154962,0.408141403,0.0,2.585872576,1.75,1.0,1.0,391.0,324.0,23.52764718,1505.584669,1451.4
93.35,3.5,36.1,2.0,2091.358229,466.2123498,2557.570579,22816.17008,4094.154962,0.408141403,0.0,2.585872576,1.75,1.0,1.0,391.0,324.0,23.52764718,1505.584669,1458.7
54.38,2.87,21.22,2.73,1006.497485,387.4026706,1393.900156,7488.243386,1414.622729,0.440419272,0.0,2.56267672,1.051282051,1.0,1.0,270.3,306.8,32.9,637.274617,909.0
80.72,3.18,47.8,2.8,1644.597365,865.5716079,2510.168973,12426.12489,7178.036559,0.626858276,0.0,1.688702929,1.135714286,1.0,1.0,280.1,324.1,32.9,1150.002989,1409.0
54.26,2.79,22.38,3.07,975.6369924,461.3054962,1436.942489,7214.495056,1573.511919,0.469037965,0.0,2.424486148,0.908794788,1.0,1.0,280.7,228.2,39.4,663.3823232,852.0
80.98,3.22,48.16,2.79,1670.949044,868.7034616,2539.652506,12446.54367,7286.564762,0.629167696,0.0,1.681478405,1.154121864,1.0,1.0,281.1,225.7,39.4,1156.163968,1314.0
67.5,2.5,55.0,2.0,1079.922475,703.7167544,1783.639229,4106.846996,9503.317777,0.844444444,0.0,1.227272727,1.25,1.0,1.0,307.0,321.0,32.47149887,690.7847555,755.0
67.5,2.5,55.0,2.0,1079.922475,703.7167544,1783.639229,4106.846996,9503.317777,0.844444444,0.0,1.227272727,1.25,1.0,1.0,307.0,321.0,32.47149887,690.7847555,701.3
