"R e,out","t e,out","R e,in","t e,in",e,"fy,out","fy,in","fc,ref",L/r,ke,N0,Nexp
67.19,2.91,6.95,4.1,0.0,300.0,794.0,79.9,9.937015598,1.0,1663.17,1845.0
67.21,2.89,6.97,4.08,0.0,300.0,794.0,115.6,9.936738363,1.0,2153.55,2321.0
67.26,2.89,10.52,5.48,0.0,300.0,619.0,40.5,9.868269974,1.0,1199.91,1423.0
67.18,2.92,10.68,5.27,0.0,300.0,619.0,79.9,9.871821115,1.0,1719.71,2012.0
67.14,2.91,10.59,5.36,0.0,300.0,619.0,115.6,9.880591307,1.0,2197.58,2537.0
67.14,2.91,11.42,7.63,0.0,300.0,433.0,40.5,9.862659464,1.0,1219.88,1626.0
67.15,2.9,11.49,7.51,0.0,300.0,433.0,79.9,9.861089313,1.0,1727.71,2083.0
67.2,2.9,11.56,7.39,0.0,300.0,433.0,115.6,9.852666104,1.0,2191.57,2500.0
67.2,2.9,16.93,10.62,0.0,300.0,739.0,40.5,9.706661201,1.0,1949.96,2543.0
67.15,2.9,16.84,10.76,0.0,300.0,739.0,79.9,9.716052834,1.0,2425.78,2775.0
67.18,2.87,40.61,3.89,0.0,300.0,1029.0,40.5,8.645156674,1.0,1763.74,2025.0
67.19,2.86,40.64,3.91,0.0,300.0,1029.0,79.9,8.643549046,1.0,2081.73,2107.0
67.22,2.88,40.64,3.91,0.0,300.0,1029.0,115.6,8.638933188,1.0,2369.73,2195.0
79.71,2.94,6.86,4.14,0.0,300.0,794.0,40.5,9.959700709,1.0,1427.33,1750.0
79.66,2.94,6.96,4.09,0.0,300.0,794.0,79.9,9.964688176,1.0,2195.55,2413.0
79.71,2.94,7.01,4.04,0.0,300.0,794.0,115.6,9.958196154,1.0,2894.99,2911.0
79.72,2.93,10.6,5.35,0.0,276.0,619.0,40.5,9.912757781,1.0,1464.97,1943.0
79.71,2.94,10.56,5.39,0.0,276.0,619.0,40.5,9.913362245,1.0,1467.8,1891.0
79.71,2.94,10.65,5.25,0.0,276.0,619.0,79.9,9.911998944,1.0,2216.35,2550.0
79.83,2.92,40.58,3.92,0.0,276.0,1029.0,40.5,8.962232037,1.0,2048.67,2375.0
79.79,2.91,40.64,3.91,0.0,276.0,1029.0,79.9,8.96402817,1.0,2586.66,2580.0
79.68,2.92,40.57,3.88,0.0,276.0,1029.0,115.6,8.975777922,1.0,3065.44,2671.0
78.92,3.68,18.06,3.19,0.0,357.7,409.8,53.7,13.48293442,1.0,1803.94,2060.0
78.76,3.69,18.15,3.2,0.0,357.7,409.8,53.7,13.50325555,1.0,1800.78,2003.0
78.82,3.68,18.09,3.21,0.0,357.7,409.8,90.7,13.4975092,1.0,2470.84,2423.0
78.85,3.7,18.16,3.19,0.0,357.7,409.8,90.7,13.48731133,1.0,2475.02,2446.0
78.71,3.69,18.1,3.2,0.0,357.7,409.8,141.0,13.51279396,1.0,3373.68,3068.0
